name	gisaid_epi_isl	date	country	loc
Belgium_UMONS-P042245401_2021	EPI_ISL_7544947	2021-12-06	Belgium	bg
Belgium_UMONS-J767979801_2022	EPI_ISL_10645460	2022-02-14	Belgium	bg
Belgium_ULG-25052_2022	EPI_ISL_10638698	2022-02-04	Belgium	bg
Belgium_Jessa_11-2209-000695LKO_2022	EPI_ISL_10640335	2022-02-28	Belgium	bg
Belgium_Jessa_11-2209-000980ZOL_2022	EPI_ISL_10640338	2022-02-28	Belgium	bg
Belgium_UMONS-J768285501_2022	EPI_ISL_10645465	2022-02-15	Belgium	bg
Belgium_UMONS-P041960401_2021	EPI_ISL_7544949	2021-12-04	Belgium	bg
Belgium_UMONS-L769081801_2022	EPI_ISL_10645486	2022-02-17	Belgium	bg
Belgium_ULG-25077_2022	EPI_ISL_10638721	2022-02-04	Belgium	bg
Belgium_ULG-25087_2022	EPI_ISL_10638731	2022-02-05	Belgium	bg
Belgium_ULG-25078_2022	EPI_ISL_10638722	2022-02-04	Belgium	bg
Belgium_ULG-25093_2022	EPI_ISL_10638737	2022-02-06	Belgium	bg
Belgium_ULG-25062_2022	EPI_ISL_10638707	2022-02-05	Belgium	bg
Belgium_UMONS-P042783001_2021	EPI_ISL_7544975	2021-12-07	Belgium	bg
Belgium_Jessa_55-2208-000778_2022	EPI_ISL_10640341	2022-02-27	Belgium	bg
Belgium_ULG-25107_2022	EPI_ISL_10638751	2022-02-04	Belgium	bg
Belgium_ULG-25096_2022	EPI_ISL_10638740	2022-02-06	Belgium	bg
Belgium_ULG-25091_2022	EPI_ISL_10638735	2022-02-04	Belgium	bg
Belgium_ULG-25105_2022	EPI_ISL_10638749	2022-02-04	Belgium	bg
Belgium_ULG-25056_2022	EPI_ISL_10638702	2022-02-04	Belgium	bg
Belgium_UMONS-P042893201_2021	EPI_ISL_7544939	2021-12-06	Belgium	bg
Belgium_Jessa_11-2209-001026ZOL_2022	EPI_ISL_10640340	2022-02-28	Belgium	bg
Belgium_Jessa_11-2209-000675LKO_2022	EPI_ISL_10640372	2022-02-28	Belgium	bg
Belgium_UMONS-N768542101_2022	EPI_ISL_10645481	2022-02-17	Belgium	bg
Belgium_ULG-25059_2022	EPI_ISL_10638704	2022-02-04	Belgium	bg
Belgium_ULG-25070_2022	EPI_ISL_10638715	2022-02-04	Belgium	bg
Belgium_ULG-25102_2022	EPI_ISL_10638746	2022-02-04	Belgium	bg
Belgium_UMONS-J769603301_2022	EPI_ISL_10645490	2022-02-18	Belgium	bg
Belgium_UMONS-J769597301_2022	EPI_ISL_10645494	2022-02-19	Belgium	bg
Belgium_ULG-25071_2022	EPI_ISL_10638716	2022-02-04	Belgium	bg
Belgium_UMONS-J769819901_2022	EPI_ISL_10645501	2022-02-21	Belgium	bg
Belgium_ULG-25069_2022	EPI_ISL_10638714	2022-02-04	Belgium	bg
Belgium_ULG-25097_2022	EPI_ISL_10638741	2022-02-04	Belgium	bg
Belgium_ULG-25079_2022	EPI_ISL_10638723	2022-02-04	Belgium	bg
Belgium_ULG-25114_2022	EPI_ISL_10638765	2022-02-04	Belgium	bg
Belgium_ULG-25074_2022	EPI_ISL_10638719	2022-02-04	Belgium	bg
Belgium_UMONS-J767667901_2022	EPI_ISL_10645462	2022-02-14	Belgium	bg
Belgium_ULG-25085_2022	EPI_ISL_10638729	2022-02-05	Belgium	bg
Belgium_UMONS-L768369001_2022	EPI_ISL_10645478	2022-02-16	Belgium	bg
Belgium_ULG-25090_2022	EPI_ISL_10638734	2022-02-05	Belgium	bg
Belgium_UMONS-N739695901_2021	EPI_ISL_7544948	2021-12-08	Belgium	bg
Belgium_ULG-25060_2022	EPI_ISL_10638705	2022-02-04	Belgium	bg
Belgium_ULG-25058_2022	EPI_ISL_10638756	2022-02-04	Belgium	bg
Belgium_ULG-25072_2022	EPI_ISL_10638717	2022-02-04	Belgium	bg
Belgium_ULG-25083_2022	EPI_ISL_10638727	2022-02-04	Belgium	bg
Belgium_ULG-25066_2022	EPI_ISL_10638711	2022-02-04	Belgium	bg
Belgium_ULG-25103_2022	EPI_ISL_10638747	2022-02-05	Belgium	bg
Belgium_UMONS-P042557501_2021	EPI_ISL_7544937	2021-12-06	Belgium	bg
Belgium_UMONS-J769537401_2022	EPI_ISL_10645491	2022-02-18	Belgium	bg
Belgium_ULG-25086_2022	EPI_ISL_10638730	2022-02-05	Belgium	bg
Belgium_UMONS-N768536901_2022	EPI_ISL_10645477	2022-02-16	Belgium	bg
Belgium_ULG-25067_2022	EPI_ISL_10638712	2022-02-06	Belgium	bg
Belgium_ULG-25061_2022	EPI_ISL_10638706	2022-02-05	Belgium	bg
Belgium_ULG-25089_2022	EPI_ISL_10638733	2022-02-05	Belgium	bg
Belgium_ULG-25068_2022	EPI_ISL_10638713	2022-02-03	Belgium	bg
Belgium_ULG-25106_2022	EPI_ISL_10638750	2022-02-24	Belgium	bg
Belgium_ULG-25080_2022	EPI_ISL_10638724	2022-02-04	Belgium	bg
Belgium_Jessa_11-2209-000982ZOL_2022	EPI_ISL_10640350	2022-02-28	Belgium	bg
Belgium_ULG-25121_2022	EPI_ISL_10638757	2022-02-04	Belgium	bg
Belgium_ULG-25113_2022	EPI_ISL_10638764	2022-02-04	Belgium	bg
Belgium_ULG-25073_2022	EPI_ISL_10638718	2022-02-04	Belgium	bg
Belgium_UMONS-J769736701_2022	EPI_ISL_10645496	2022-02-20	Belgium	bg
Belgium_UMONS-J768287401_2022	EPI_ISL_10645466	2022-02-15	Belgium	bg
Belgium_ULG-25055_2022	EPI_ISL_10638701	2022-02-04	Belgium	bg
Belgium_UMONS-P042553801_2021	EPI_ISL_7544971	2021-12-06	Belgium	bg
Belgium_UMONS-P042782401_2021	EPI_ISL_7544956	2021-12-07	Belgium	bg
Belgium_ULG-25081_2022	EPI_ISL_10638725	2022-02-04	Belgium	bg
Belgium_Jessa_11-2209-001003ZOL_2022	EPI_ISL_10640375	2022-02-28	Belgium	bg
Belgium_UMONS-P042390601_2021	EPI_ISL_7544938	2021-12-06	Belgium	bg
Belgium_ULG-25057_2022	EPI_ISL_10638703	2022-02-04	Belgium	bg
Belgium_ULG-25053_2022	EPI_ISL_10638699	2022-02-04	Belgium	bg
Belgium_UMONS-P042767901_2021	EPI_ISL_7544936	2021-12-07	Belgium	bg
Belgium_UMONS-L763733601_2022	EPI_ISL_10645492	2022-02-18	Belgium	bg
Belgium_UMONS-P042556501_2021	EPI_ISL_7544969	2021-12-06	Belgium	bg
Belgium_Jessa_11-2209-000992ZOL_2022	EPI_ISL_10640346	2022-02-28	Belgium	bg
Belgium_SJ3220404645_2022	EPI_ISL_12412540	2022-04-04	Belgium	bg
Belgium_SJ3220409184_2022	EPI_ISL_12412542	2022-04-06	Belgium	bg
Belgium_SJ3220409619_2022	EPI_ISL_12412538	2022-04-06	Belgium	bg
Belgium_IPG-1139_2022	EPI_ISL_8926284	2022-01-07	Belgium	bg
Belgium_ZNA_25065464_2022	EPI_ISL_8925626	2022-01-03	Belgium	bg
Belgium_ZNA_25067424_2022	EPI_ISL_8925630	2022-01-03	Belgium	bg
Belgium_IPG-1132_2022	EPI_ISL_8926285	2022-01-14	Belgium	bg
Belgium_ZNA_25065617_2022	EPI_ISL_8925625	2022-01-03	Belgium	bg
Belgium_ZNA_25075868_2022	EPI_ISL_8925633	2022-01-06	Belgium	bg
Belgium_ZNA_25075925_2022	EPI_ISL_8925620	2022-01-06	Belgium	bg
Belgium_IPG-1127_2022	EPI_ISL_8926288	2022-01-11	Belgium	bg
Belgium_ZNA_25068789_2022	EPI_ISL_8925624	2022-01-04	Belgium	bg
Belgium_IPG-1128_2022	EPI_ISL_8926281	2022-01-14	Belgium	bg
Belgium_ZNA_25075855_2022	EPI_ISL_8925628	2022-01-06	Belgium	bg
Belgium_ZNA_25066654_2022	EPI_ISL_8925634	2022-01-03	Belgium	bg
Belgium_ZNA_25059113_2021	EPI_ISL_8925622	2021-12-30	Belgium	bg
Belgium_IPG-1126_2022	EPI_ISL_8926294	2022-01-10	Belgium	bg
Belgium_ZNA_25059006_2021	EPI_ISL_8925619	2021-12-30	Belgium	bg
Belgium_IPG-1140_2022	EPI_ISL_8926292	2022-01-09	Belgium	bg
Belgium_IPG-1138_2022	EPI_ISL_8926286	2022-01-09	Belgium	bg
Belgium_ZNA_25058303_2021	EPI_ISL_8925629	2021-12-30	Belgium	bg
Belgium_ZNA_25058826_2021	EPI_ISL_8925614	2021-12-30	Belgium	bg
Belgium_IPG-1125_2022	EPI_ISL_8926273	2022-01-14	Belgium	bg
Belgium_ZNA_25067802_2022	EPI_ISL_8925615	2022-01-04	Belgium	bg
Belgium_IPG-1134_2022	EPI_ISL_8926287	2022-01-14	Belgium	bg
Belgium_ZNA_25070614_2022	EPI_ISL_8925621	2022-01-05	Belgium	bg
Belgium_IPG-1130_2022	EPI_ISL_8926279	2022-01-14	Belgium	bg
Belgium_IPG-1133_2022	EPI_ISL_8926282	2022-01-14	Belgium	bg
Belgium_IPG-1131_2022	EPI_ISL_8926274	2022-01-14	Belgium	bg
Belgium_IPG-1141_2022	EPI_ISL_8926293	2022-01-14	Belgium	bg
Belgium_MBLG-CTMAPF20301937_2022	EPI_ISL_8931623	2022-01-16	Belgium	bg
Belgium_UZA-UA-48605859_2022	EPI_ISL_10664540	2022-02-22	Belgium	bg
Belgium_CHUNamur13945238_2022	EPI_ISL_8932494	2022-01-14	Belgium	bg
Belgium_MBLG-CTMAPF33488349_2022	EPI_ISL_8931573	2022-01-13	Belgium	bg
Belgium_UZA-UA-CV8523247025_2022	EPI_ISL_10664450	2022-02-24	Belgium	bg
